task_id,task_type,duration_minutes,required_skills,employee_assigned,outcome
1,product_inquiry,63,"{""documentation"": 9}",9,success
2,technical_issue,68,"{""teamwork"": 2, ""problem_solving"": 7}",1,success
3,phone_support,98,"{""inventory_management"": 1, ""teamwork"": 8}",4,escalated
4,quality_check,77,"{""sales"": 8, ""cash_handling"": 3}",7,success
5,data_entry,110,"{""time_management"": 7, ""quality_control"": 9, ""multitasking"": 2}",10,escalated
6,documentation,120,"{""time_management"": 3, ""phone_etiquette"": 3}",8,delayed
7,sales_call,31,"{""customer_service"": 7, ""documentation"": 6}",4,success
8,data_entry,83,"{""product_knowledge"": 7, ""technical_support"": 9}",6,delayed
9,quality_check,20,"{""cash_handling"": 8, ""product_knowledge"": 4}",9,success
10,quality_check,40,"{""cash_handling"": 1, ""phone_etiquette"": 2}",4,delayed
11,sales_call,37,"{""customer_service"": 4}",3,escalated
12,sales_call,37,"{""sales"": 1, ""multitasking"": 6, ""documentation"": 3}",1,escalated
13,technical_issue,89,"{""quality_control"": 6, ""documentation"": 7}",7,success
14,phone_support,24,"{""product_knowledge"": 4, ""teamwork"": 4}",2,delayed
15,documentation,109,"{""multitasking"": 6, ""documentation"": 1}",6,success
16,documentation,34,"{""customer_service"": 1}",3,success
17,product_inquiry,115,"{""problem_solving"": 1, ""time_management"": 4, ""product_knowledge"": 3}",5,delayed
18,product_inquiry,79,"{""problem_solving"": 4, ""cash_handling"": 9, ""data_entry"": 4}",10,delayed
19,inventory_update,79,"{""quality_control"": 10, ""multitasking"": 5, ""email_communication"": 5}",1,delayed
20,sales_call,58,"{""time_management"": 8}",1,success
21,quality_check,80,"{""technical_support"": 6, ""documentation"": 1, ""phone_etiquette"": 6}",7,escalated
22,sales_call,45,"{""technical_support"": 8, ""quality_control"": 5}",5,success
23,phone_support,32,"{""communication"": 8, ""multitasking"": 8}",4,escalated
24,data_entry,98,"{""problem_solving"": 2}",10,delayed
25,quality_check,62,"{""email_communication"": 10, ""time_management"": 10, ""quality_control"": 9}",3,delayed
26,data_entry,94,"{""multitasking"": 3, ""teamwork"": 10}",2,escalated
27,cash_transaction,18,"{""product_knowledge"": 4, ""documentation"": 6}",3,success
28,data_entry,101,"{""email_communication"": 8}",10,success
29,documentation,103,"{""multitasking"": 4}",7,success
30,technical_issue,74,"{""communication"": 7, ""documentation"": 2}",7,success
31,data_entry,117,"{""technical_support"": 10, ""inventory_management"": 9, ""communication"": 10}",4,escalated
32,product_inquiry,80,"{""teamwork"": 8, ""documentation"": 10, ""product_knowledge"": 9}",8,escalated
33,sales_call,90,"{""customer_service"": 10, ""problem_solving"": 8}",6,escalated
34,documentation,42,"{""customer_service"": 3}",9,delayed
35,cash_transaction,56,"{""cash_handling"": 8}",8,delayed
36,product_inquiry,59,"{""email_communication"": 6}",2,escalated
37,technical_issue,16,"{""inventory_management"": 1, ""time_management"": 7, ""quality_control"": 6}",10,escalated
38,inventory_update,42,"{""communication"": 6, ""data_entry"": 2, ""teamwork"": 4}",6,escalated
39,customer_support,67,"{""data_entry"": 8, ""customer_service"": 5, ""documentation"": 1}",10,escalated
40,data_entry,66,"{""email_communication"": 9, ""quality_control"": 1}",9,success
41,inventory_update,105,"{""teamwork"": 10}",9,success
42,phone_support,114,"{""phone_etiquette"": 4, ""data_entry"": 2}",9,delayed
43,phone_support,112,"{""teamwork"": 6}",1,success
44,phone_support,77,"{""cash_handling"": 1, ""communication"": 4}",2,escalated
45,data_entry,111,"{""quality_control"": 10, ""data_entry"": 2}",4,delayed
46,customer_support,103,"{""multitasking"": 5, ""communication"": 7, ""quality_control"": 6}",10,success
47,phone_support,76,"{""teamwork"": 6, ""inventory_management"": 5}",3,success
48,documentation,33,"{""product_knowledge"": 4, ""sales"": 5, ""data_entry"": 3}",5,escalated
49,product_inquiry,109,"{""sales"": 9}",10,delayed
50,sales_call,45,"{""product_knowledge"": 4, ""technical_support"": 2}",9,escalated
51,inventory_update,26,"{""communication"": 7}",5,escalated
52,data_entry,119,"{""problem_solving"": 3}",7,delayed
